location_key,date,place_id,wikidata_id,country_code,country_name,subregion1_code,subregion1_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_ventilator_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
GB_ENG,2020-01-12,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.472222,4.229167,9.402778,8.424333,10.16,6.0,90.398446
GB_ENG,2020-01-13,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.9375,3.451389,8.951389,2.074333,,4.416667,89.970961
GB_ENG,2020-01-14,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.222222,5.0625,13.722222,2.328333,,6.125,86.639109
GB_ENG,2020-01-15,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.777778,5.159722,8.770833,4.426857,,3.722222,80.912559
GB_ENG,2020-01-16,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.756944,4.006944,11.611111,0.036286,,5.763889,87.216518
GB_ENG,2020-01-17,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.375,2.951389,9.756944,0.550333,,4.541667,88.064018
GB_ENG,2020-01-18,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.5,1.034722,6.916667,1.17475,,0.986111,83.656115
GB_ENG,2020-01-19,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.3125,-0.423611,6.465278,0.0,,-0.423611,82.264002
GB_ENG,2020-01-20,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.56,2.6875,-0.173611,6.972222,0.0,,1.152778,89.656626
GB_ENG,2020-01-21,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.56,3.305556,-0.597222,7.638889,0.0635,,2.25,92.828461
GB_ENG,2020-01-22,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.56,5.381944,1.875,8.576389,0.1905,,5.118056,98.189376
GB_ENG,2020-01-23,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.56,5.951389,3.722222,7.229167,0.15875,,5.770833,98.763948
GB_ENG,2020-01-24,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.56,6.694444,5.555556,7.972222,0.036286,,5.861111,94.47442
GB_ENG,2020-01-25,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.56,5.798611,4.965278,6.395833,0.036286,,4.520833,91.516592
GB_ENG,2020-01-26,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.56,6.75,4.173611,8.944444,0.719667,,5.784722,93.574234
GB_ENG,2020-01-27,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.56,5.465278,3.118056,7.840278,1.959429,,4.006944,90.33491
GB_ENG,2020-01-28,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.56,3.958333,1.513889,7.0625,0.296333,,1.152778,81.952229
GB_ENG,2020-01-29,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,,,,,,,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.56,5.645833,2.319444,8.326389,0.072571,,2.159722,78.29703
GB_ENG,2020-01-30,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,1,,,1,0,0,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.56,8.520833,5.395833,11.618056,0.0635,,6.430556,86.72108
GB_ENG,2020-01-31,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,0,,,1,0,0,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.56,10.0625,6.604167,12.236111,0.036286,,7.993056,86.99726
GB_ENG,2020-02-01,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,0,,,1,0,0,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.56,9.145833,6.798611,10.694444,0.3175,,4.416667,72.29223
GB_ENG,2020-02-02,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,1,,,2,0,0,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,11.11,7.673611,5.229167,10.715278,3.725333,,5.868056,88.368098
GB_ENG,2020-02-03,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,18,,,20,0,0,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,,0,0,11.11,7.277778,3.340278,9.263889,2.939143,,2.791667,73.209369
GB_ENG,2020-02-04,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,0,,,20,0,0,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,11.11,5.631944,2.194444,9.368056,1.608667,,1.743056,76.120566
GB_ENG,2020-02-05,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,1,,,21,0,0,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,11.11,3.611111,-0.152778,7.8125,0.0,,1.895833,88.580705
GB_ENG,2020-02-06,ChIJ39UebIqp0EcRqI4tMyWV4fQ,Q21,GB,United Kingdom,ENG,England,GB,GBR,1,0,,,21,0,0,,,,,,,,,,,53012456,27956474,28771574,6732839,6362868,7583022,7618497,7071948,7633431,6027999,4813498,2883947,58447,53.0,-1.0,130278,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,11.11,2.9375,-1.465278,8.555556,0.03175,,1.256944,88.737837
